@relation offre-3

@attribute id numeric
@attribute poste {'Responsable Support Expert Réseaux ','Ingénieur détude et développement JAVA ','Développeur JAVA Backend (H/F) ','Expert Technico Fonctionnel Billing ','Administrateur Réseaux (H/F) ','Architecte technique ','Testeur/Automaticien Confirmé (H/F) ','IT Onsite Team Leader ','Ingénieur sécurité ','Auditeur Système dInformation Senior','Auditeur Système d’Information Confirmé (H/F) ','Développeur orienté objet ','Développeur VBA ','Approvisionneur Junior ','Vérification & Test engineer ','Spécialiste Network ','Pilote Test et Déploiement Anglophone (H/F) ','Développeur PHP Full Stack Senior ','Ingénieur Développement Senior C# / .NET / MVC5 ','Ingénieur Réseau et Sécurité ','Chef de projet PL/SQL ','Ingénieur TMA (java/SQL) ','Développeur Full stack confirmé ','Développeur .NET Senior (H/F) ','Business Analyst (H/F) ','Chef de projet AMOA (H/F) ','Consultants expérimentés SIRH ','Developpeur Reactjs ','Developpeur Node JS ','Ingénieur Développement Senior Full Stack Java/ J2EE ','Ingénieur TMA ','Consultant Technico','Analyste Programmeur .Net ','Développeur Angular, .Net Core, ASP.Net ','Responsable support monétique ','Concepteur Développeur Symfony (H/F) ','Expert Technique PHP Natif (H/F) ','Ingénieur Concepteur Développeur PHP NATIF (H/F) ','Concepteur Développeur Magento (H/F) ','Ingénieur Concepteur Développeur Drupal ','Expert Technique Drupal ','Développer Big Data SCALA/JAVA (H/F) ','Spécialiste Recrutement (H/F) ','Senior Developer Android/IOS (H/F) ','INGENIEURS SENIORS CASA ET RABAT (RESEAUX, SYSTEME, SECURITE, COMMUNICATIONS UNIFIEES) ','Expert Apache ','Ingénieur de Production ','Ingénieur Support (SQL/JAVA) ','ingénieur support (PHP/ SQL) ','Testeur Informatique Anglophone ','Ingénieur Support BI (H/F) ','Consultant HR Access ','Accounts Managers Intégration IT (Casa et Rabat) ','Consultant SAP FICO ','Data Scientist ','Ingénieur Développeur Dot Net (H/F) ','Consultant OTC ','Lead SAP ( PP / QM/S4HANA ) ','Data Scientist (H/F) ','Technicien Service Desk (H/F) ','Ingénieur Développeur Java/JEE ','Expert DBA ','Expert Technique Front End (H/F) ','Ingénieur Concepteur Développeur JAVASCRIPT/ VUE.JS (H/F) ','Concepteur Développeur NodeJs(H/F) ','Ingénieur Concepteur Développeur JavaScript/Angular (H/F) ','Ingénieur Concepteur Développeur JAVASCRIPT/REACTJS ','Administrateur Système H/F ','Architecte Microservice ','Team Leader JAVA JEE ','Ingénieur Projet JAVA JEE ','Architecte DEVOPS ','Scrum Master Senior ','Business Analyst / Power BI ','IT Business Analyst / JAVA ','Ingénieur Etudes et Développement .NET senior ','Analyste SI ','Chargé(e) de Facturation Client (H/F) [Contrat CDD 3 mois] ','Chargé(e) de Facturation Client et administration des ventes (H/F) ','Ingénieur Etude et Développement Java Senior (H/F) ','Ingénieurs Etude et Développement JAVA EE Senior ','Ingénieur développeur JAVA / Angular ','Développeur full stack ','Chargé(e) de Gestion des Déplacements Professionnels ','Développeur Java Angular ','Concepteur développeur JAVA JEE ','Concepteur développeur ESB ','Ingénieur DEVOPS ','Développeur Master Data Management ','chef de projet MOE Expert IT/Finance ','Senior Cloud Engineer ','Cloud Engineer ','Service Delivery Officer ','Quality of Service Manager ','Security Expert ','Ingénieur Test Automatisation Robot Framework Confirmé (H/F) ','Chargé Sécurité et de la conformité ','Project and service delivery management Officer ','Consultant MSBI ','Delivery Manager ','Ingénieur Etudes et Développement PHP full stack Sénior ','Java Fullstack (H/F) ','Développeur Dotnet confirmé ','Administrateur réseau et système ','Lead Technique (H/F) ','Ingénieur étude et développement Hybris ','Consultant DBA Sybase IQ ','Développeur ','Ingénieur Etude et Développement Dot Net (H/F) ','Ingénieur Test et Recette Fonctionnelle Junior ','Workplace Administrator ','Infrastructure Administrator ','Techniciens Support FAI ','Ingénieur Tests Fonctionnels et Automatisés ','Développeur DRUPAL ','Développeur .NET Confirmé (H/F) ','WorkPlace Specialist ','Ingénieur PFA SPARTE ','Ingénieur IT Business analyst (H/F) ','Ingénieur Chef de projet IT / Scrum Master (H/F) ','Stage PFE Bac+3 : Consultant BI (H/F) ','Consultant(e) MicroStrategy ','Consultant Pilotage & Contrôle AMOA (H/F) ','Développeur Fullstack Javascript (H/F) ','Ingénieur développeur .Net Angular Confirmé ','Ingénieur Développeur C ','Ingénieur DevOps Senior ','Test Analyst Anglophone MON','Ingénieur Test et automatisation ','Responsable sécurité des systèmes dinformation ','Auditeur Sécurité SI Junior (H/F) ','Software R&D Technical Consultant ','Ressource & Operation Manager ','Ingénieur Développement Java Senior (H/F) ','Ingénieurs infrastructure ','Consultants SAM Anglophones ','Ingénieurs Débutants en Support Infrastructure N1(H/F) ','Technicien Informatique Site ','Business Analyst ','Tech Lead Java ','Développeur Full Stack Java/JEE Confirmé ','Ingénieur Etudes et Développement Fullstack .NET / Angular Senior ','Ingénieur Développement PHP ','Ingénieur Etudes Et Développement Java Full Stack (H/F) ','Ingénieur Test Automatisation (H/F) ','Ingénieur Data Senior ','Développeur Big Data ','Ingénieur infrastructure Devops/Docker ','BigData Developer ( Scala/Java) ','Manager IT ','Ingénieur BI Confirmé ','Software Engineer ','Développeur Fullstack / Scrum master ','Expert Oracle ERP/BI ','Développeur Full Stack Java/Angular Confirmé ','Qualifieur ','Consultant en transformation RH (H/F) ','Ingénieur OPS – DEVOPS confirmé ','Expert sécurité robustesse de mots de passe ','Senior IT Talent Acquisition Specialist ','Chef de projet Réseaux et Télécoms ','Domain Manager ','Administrateur Bases de données ','Project Manager ','Expert Test et Automatisation ','Consultant RPA Sénior (H/F) ','Chef de Projet ','Ingénieur Test et Qualification','Ingénieur Test et Automatisation ','Expert test et automatisation ','Référent technique ','Consultant Fonctionnel ','Chef de Projets Technique ','Microsoft System Administrator ','Développeur PHP Full Stack Sénior ','Ingénieur N2 Réseau & Sécurité ','Concepteur Développeur Fullstack ','Developpeur Mainframe ','Analyste fonctionnel ','Chef de projet monétique Senior ','Développeur Angular confirmé ','Ingénieur Back','Référent technique MDM ','Product Owner Agile ','Expert Java J2EE / Angular ','Ingénieur Développeur Oracle PL/SqL C','Tech Lead DotNet ','Développeur Senior DotNet ','Consultant React Native ','Chargé Sécurité et de la conformité (F/H) '}
@attribute region {'Rabat et région - Maroc','Casablanca et région - Maroc','Tout le Maroc - Maroc','Fès et région - Maroc','Marrakech et région - Maroc','Béni Mellal et région - Maroc','Kénitra et région - Maroc'}
@attribute entreprise {'Webhelp Maroc','Adria Business & Technology','INTM Mediterranée','Sofrecom Services Maroc',Umanis,Welink,Atos,'Sitel Group','Deloitte Nearshore',Altados,'ALTEN Maroc',TeamDEV,'EnerGetic Link',Neosys,'TNC The Next Clic','DXC Technology Maroc',Involys,'SQLI Maroc','ARIA Tech',Cnexia,Intelcom,'AXA Rabat (Axa Services)','Oceane Consulting',Omnishore,'Groupe Adaming','Perenity Software','AXA Group Operations Maroc','LCI Education','CGI Technologies et Solutions Maroc',Leyton,OBS,'Excel Management Conseil','Intelcia ITS'}
@attribute typeContrat {'CDI Poste avec Management',CDI,'Freelance Poste avec Management',CDD,Freelance,Autre,Stage}
@attribute nivEtude {'Bac +5 et plus - Ecole dingénieur - Université','Bac +5 et plus - Ecole dingénieur','Bac +5 et plus','Bac +4 - Ecole dingénieur','Bac +2','Bac +5 et plus - Master - Ecole dingénieur','Bac +4','Bac +4 - Master','Bac +5 et plus - Ecole de commerce - Formation spécialisée','Bac +5 et plus - Master - Formation spécialisée','Bac +3 - Ecole dingénieur','Bac +5 et plus - Master - Ecole de commerce','Bac +5 et plus - Master','Bac +2 - Ecole dingénieur - Université','Bac +3 - Master - Ecole dingénieur','Bac +3 - Université','Bac +3 - Université - Formation spécialisée'}
@attribute anneeExperience {'De 5 à 10 ans','De 1 à 3 ans','De 3 à 5 ans',Débutant,'Moins de 1 an - De 1 à 3 ans','De 3 à 5 ans - De 5 à 10 ans','De 5 à 10 ans - De 10 à 20 ans','De 1 à 3 ans - De 3 à 5 ans','De 10 à 20 ans','Moins de 1 an','Débutant - Moins de 1 an'}

@data
2273,'Testeur Informatique Anglophone ','Rabat et région - Maroc','AXA Rabat (Axa Services)',CDI,'Bac +4 - Ecole dingénieur','De 1 à 3 ans'
2274,'Ingénieur Support BI (H/F) ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2275,'Consultant HR Access ','Casablanca et région - Maroc',Altados,CDI,'Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2276,'Accounts Managers Intégration IT (Casa et Rabat) ','Rabat et région - Maroc',Intelcom,CDI,'Bac +5 et plus - Master - Ecole de commerce','De 3 à 5 ans'
2277,'Consultant SAP FICO ','Casablanca et région - Maroc',Welink,'Freelance Poste avec Management','Bac +5 et plus','De 3 à 5 ans - De 5 à 10 ans'
2278,'Data Scientist ','Casablanca et région - Maroc',Involys,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2279,'Ingénieur Développeur Dot Net (H/F) ','Casablanca et région - Maroc','Oceane Consulting','CDI Poste avec Management','Bac +5 et plus - Master','De 1 à 3 ans'
2280,'Consultant OTC ','Casablanca et région - Maroc',Welink,'Freelance Poste avec Management','Bac +5 et plus','De 5 à 10 ans'
2281,'Lead SAP ( PP / QM/S4HANA ) ','Casablanca et région - Maroc',Altados,'Freelance Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2282,'Data Scientist (H/F) ','Casablanca et région - Maroc','Oceane Consulting',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2283,'Technicien Service Desk (H/F) ','Rabat et région - Maroc','INTM Mediterranée',CDI,'Bac +2 - Ecole dingénieur - Université','De 1 à 3 ans - De 3 à 5 ans'
2284,'Ingénieur Développeur Java/JEE ','Casablanca et région - Maroc','Sitel Group',CDI,'Bac +3 - Master - Ecole dingénieur','De 1 à 3 ans'
2285,'Expert DBA ','Rabat et région - Maroc','DXC Technology Maroc','CDI Poste avec Management','Bac +5 et plus - Master','De 10 à 20 ans'
2286,'Expert Technique Front End (H/F) ','Casablanca et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 5 à 10 ans'
2287,'Ingénieur Concepteur Développeur JAVASCRIPT/ VUE.JS (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 3 à 5 ans'
2288,'Concepteur Développeur NodeJs(H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 3 à 5 ans'
2289,'Ingénieur Concepteur Développeur JavaScript/Angular (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 5 à 10 ans'
2290,'Ingénieur Concepteur Développeur JAVASCRIPT/REACTJS ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 3 à 5 ans'
2291,'Expert Technique Front End (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +4','De 5 à 10 ans'
2292,'Administrateur Système H/F ','Casablanca et région - Maroc','Sitel Group',CDI,'Bac +3 - Ecole dingénieur','De 1 à 3 ans'
2293,'Architecte Microservice ','Casablanca et région - Maroc',Omnishore,CDI,'Bac +5 et plus','De 5 à 10 ans - De 10 à 20 ans'
2294,'Team Leader JAVA JEE ','Casablanca et région - Maroc',Omnishore,CDI,'Bac +5 et plus','De 3 à 5 ans - De 5 à 10 ans'
2295,'Ingénieur Projet JAVA JEE ','Casablanca et région - Maroc',Omnishore,CDI,'Bac +5 et plus','De 1 à 3 ans - De 3 à 5 ans'
2296,'Architecte DEVOPS ','Casablanca et région - Maroc',Omnishore,'CDI Poste avec Management','Bac +5 et plus','De 5 à 10 ans - De 10 à 20 ans'
2297,'Scrum Master Senior ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2298,'Business Analyst / Power BI ','Casablanca et région - Maroc','Groupe Adaming',CDI,'Bac +5 et plus','De 3 à 5 ans'
2299,'IT Business Analyst / JAVA ','Casablanca et région - Maroc','Groupe Adaming',CDI,'Bac +5 et plus','De 3 à 5 ans'
2300,'Ingénieur Etudes et Développement .NET senior ','Casablanca et région - Maroc',Umanis,CDI,'Bac +5 et plus','De 3 à 5 ans'
2301,'Analyste SI ','Casablanca et région - Maroc',Umanis,CDI,'Bac +5 et plus','De 5 à 10 ans'
2302,'Chargé(e) de Facturation Client (H/F) [Contrat CDD 3 mois] ','Casablanca et région - Maroc',Umanis,CDD,'Bac +2',Débutant
2303,'Chargé(e) de Facturation Client et administration des ventes (H/F) ','Casablanca et région - Maroc',Umanis,CDI,'Bac +2','De 1 à 3 ans'
2304,'Ingénieur Etude et Développement Java Senior (H/F) ','Casablanca et région - Maroc',Atos,CDI,'Bac +5 et plus','De 5 à 10 ans'
2305,'Ingénieurs Etude et Développement JAVA EE Senior ','Casablanca et région - Maroc','Perenity Software','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2306,'Ingénieur développeur JAVA / Angular ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Master - Ecole dingénieur','De 1 à 3 ans - De 3 à 5 ans'
2307,'Développeur full stack ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +4','De 5 à 10 ans'
2308,'Chargé(e) de Gestion des Déplacements Professionnels ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +3 - Université','De 1 à 3 ans'
2309,'Développeur Java Angular ','Tout le Maroc - Maroc','Sofrecom Services Maroc',CDI,'Bac +4','De 5 à 10 ans'
2310,'Concepteur développeur JAVA JEE ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +4','De 5 à 10 ans'
2311,'Concepteur développeur ESB ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +4','De 1 à 3 ans'
2312,'Ingénieur DEVOPS ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +4','De 5 à 10 ans'
2313,'Développeur Master Data Management ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +4','De 1 à 3 ans'
2314,'chef de projet MOE Expert IT/Finance ','Casablanca et région - Maroc',Welink,Freelance,'Bac +5 et plus','De 5 à 10 ans'
2315,'Senior Cloud Engineer ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans - De 5 à 10 ans'
2316,'Cloud Engineer ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2317,'Service Delivery Officer ','Rabat et région - Maroc','AXA Group Operations Maroc',CDI,'Bac +4','De 3 à 5 ans'
2318,'Quality of Service Manager ','Rabat et région - Maroc','AXA Group Operations Maroc',CDI,'Bac +5 et plus','De 5 à 10 ans'
2319,'Security Expert ','Rabat et région - Maroc','AXA Group Operations Maroc',CDI,'Bac +4','De 3 à 5 ans'
2320,'Ingénieur Test Automatisation Robot Framework Confirmé (H/F) ','Tout le Maroc - Maroc',Atos,CDI,'Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2321,'Chargé Sécurité et de la conformité ','Rabat et région - Maroc','AXA Group Operations Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2322,'Project and service delivery management Officer ','Rabat et région - Maroc','AXA Group Operations Maroc',CDI,'Bac +5 et plus','De 5 à 10 ans'
2323,'Consultant MSBI ','Casablanca et région - Maroc',Umanis,CDI,'Bac +5 et plus','De 3 à 5 ans'
2324,'Delivery Manager ','Casablanca et région - Maroc',Atos,CDI,'Bac +5 et plus','De 10 à 20 ans'
2325,'Ingénieur Etudes et Développement PHP full stack Sénior ','Tout le Maroc - Maroc',Atos,CDI,'Bac +5 et plus - Master','De 5 à 10 ans'
2326,'Java Fullstack (H/F) ','Tout le Maroc - Maroc',Atos,CDI,'Bac +5 et plus','De 5 à 10 ans'
2327,'Développeur Dotnet confirmé ','Casablanca et région - Maroc',Atos,CDI,'Bac +5 et plus','De 3 à 5 ans'
2328,'Administrateur réseau et système ','Casablanca et région - Maroc','LCI Education',CDI,'Bac +5 et plus - Master','De 5 à 10 ans'
2329,'Lead Technique (H/F) ','Casablanca et région - Maroc','TNC The Next Clic','CDI Poste avec Management','Bac +5 et plus','De 5 à 10 ans'
2330,'Ingénieur étude et développement Hybris ','Béni Mellal et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2331,'Consultant DBA Sybase IQ ','Fès et région - Maroc',Welink,'Freelance Poste avec Management','Bac +5 et plus','De 5 à 10 ans'
2332,'Développeur ','Casablanca et région - Maroc',Altados,Freelance,'Bac +5 et plus','De 5 à 10 ans'
2333,'Ingénieur Etude et Développement Dot Net (H/F) ','Casablanca et région - Maroc','Oceane Consulting',CDI,'Bac +5 et plus','De 1 à 3 ans'
2334,'Ingénieur Test et Recette Fonctionnelle Junior ','Fès et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','Moins de 1 an'
2335,'Workplace Administrator ','Rabat et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2336,'Infrastructure Administrator ','Rabat et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2337,'Techniciens Support FAI ','Fès et région - Maroc','ALTEN Maroc',Autre,'Bac +2',Débutant
2338,'Ingénieur Tests Fonctionnels et Automatisés ','Fès et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2339,'Développeur DRUPAL ','Rabat et région - Maroc',Neosys,CDI,'Bac +5 et plus','De 5 à 10 ans'
2340,'Développeur .NET Confirmé (H/F) ','Rabat et région - Maroc',Neosys,CDI,'Bac +5 et plus','De 5 à 10 ans'
2341,'WorkPlace Specialist ','Rabat et région - Maroc','ALTEN Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2342,'Ingénieur Développement Senior C# / .NET / MVC5 ','Marrakech et région - Maroc',TeamDEV,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2343,'Ingénieur PFA SPARTE ','Fès et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2344,'Ingénieur IT Business analyst (H/F) ','Rabat et région - Maroc','SQLI Maroc',CDI,'Bac +5 et plus - Master','De 3 à 5 ans'
2345,'Ingénieur Chef de projet IT / Scrum Master (H/F) ','Rabat et région - Maroc','SQLI Maroc','CDI Poste avec Management','Bac +5 et plus - Master','De 3 à 5 ans'
2346,'Stage PFE Bac+3 : Consultant BI (H/F) ','Casablanca et région - Maroc','CGI Technologies et Solutions Maroc',Stage,'Bac +3 - Université - Formation spécialisée',Débutant
2347,'Consultant(e) MicroStrategy ','Kénitra et région - Maroc','CGI Technologies et Solutions Maroc',CDI,'Bac +5 et plus','De 5 à 10 ans'
2348,'Consultant Pilotage & Contrôle AMOA (H/F) ','Tout le Maroc - Maroc','CGI Technologies et Solutions Maroc','CDI Poste avec Management','Bac +5 et plus','De 3 à 5 ans'
2349,'Développeur Fullstack Javascript (H/F) ','Rabat et région - Maroc','CGI Technologies et Solutions Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2350,'Ingénieur développeur .Net Angular Confirmé ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus','De 1 à 3 ans'
2351,'Ingénieur Développeur C ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans - De 5 à 10 ans'
2352,'Ingénieur DevOps Senior ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus','De 3 à 5 ans'
2353,'Test Analyst Anglophone MON','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus','De 3 à 5 ans'
2354,'Ingénieur Test et automatisation ','Casablanca et région - Maroc',Altados,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2355,'Responsable sécurité des systèmes dinformation ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus - Master - Ecole dingénieur','De 5 à 10 ans - De 10 à 20 ans'
2356,'Auditeur Sécurité SI Junior (H/F) ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Ecole dingénieur','Débutant - Moins de 1 an'
2357,'Software R&D Technical Consultant ','Casablanca et région - Maroc',Leyton,CDI,'Bac +5 et plus - Master','De 1 à 3 ans'
2358,'Ressource & Operation Manager ','Casablanca et région - Maroc','Sofrecom Services Maroc','CDI Poste avec Management','Bac +5 et plus','De 10 à 20 ans'
2359,'Ingénieur Développement Java Senior (H/F) ','Casablanca et région - Maroc',Atos,CDI,'Bac +5 et plus','De 5 à 10 ans'
2360,'Ingénieurs infrastructure ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Ecole dingénieur','Moins de 1 an - De 1 à 3 ans'
2361,'Consultants SAM Anglophones ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Ecole dingénieur','Moins de 1 an - De 1 à 3 ans'
2362,'Ingénieurs Débutants en Support Infrastructure N1(H/F) ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus',Débutant
2363,'Technicien Informatique Site ','Rabat et région - Maroc','Webhelp Maroc',CDI,'Bac +2','De 1 à 3 ans'
2364,'Business Analyst ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2365,'Tech Lead Java ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans - De 5 à 10 ans'
2366,'Développeur Full Stack Java/JEE Confirmé ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus','De 3 à 5 ans'
2367,'Ingénieur Etudes et Développement Fullstack .NET / Angular Senior ','Casablanca et région - Maroc',Umanis,CDI,'Bac +5 et plus','De 5 à 10 ans'
2368,'Ingénieur Développement PHP ','Rabat et région - Maroc','Webhelp Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2369,'Ingénieur Etudes Et Développement Java Full Stack (H/F) ','Casablanca et région - Maroc','ARIA Tech',CDI,'Bac +5 et plus - Master','De 3 à 5 ans'
2370,'Ingénieur Test Automatisation (H/F) ','Casablanca et région - Maroc','ARIA Tech',CDI,'Bac +5 et plus','De 3 à 5 ans'
2371,'Ingénieur Data Senior ','Rabat et région - Maroc','Webhelp Maroc',CDI,'Bac +5 et plus','De 5 à 10 ans'
2372,'Développeur Big Data ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2373,'Ingénieur infrastructure Devops/Docker ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus','De 5 à 10 ans'
2374,'BigData Developer ( Scala/Java) ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus','De 3 à 5 ans'
2375,'Ingénieur infrastructure Devops/Docker ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus','De 5 à 10 ans'
2376,'Manager IT ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus','De 3 à 5 ans'
2377,'Ingénieur BI Confirmé ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2378,'Software Engineer ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2379,'Développeur Fullstack / Scrum master ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2380,'Expert Oracle ERP/BI ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2381,'Développeur Full Stack Java/Angular Confirmé ','Rabat et région - Maroc',OBS,CDI,'Bac +5 et plus','De 3 à 5 ans'
2382,'Qualifieur ','Casablanca et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2383,'Consultant en transformation RH (H/F) ','Casablanca et région - Maroc','Deloitte Nearshore',CDI,'Bac +5 et plus - Master - Ecole de commerce','Moins de 1 an - De 1 à 3 ans'
2384,'Ingénieur OPS – DEVOPS confirmé ','Rabat et région - Maroc','Excel Management Conseil',CDI,'Bac +5 et plus','De 3 à 5 ans'
2385,'Expert sécurité robustesse de mots de passe ','Rabat et région - Maroc','Excel Management Conseil',CDI,'Bac +5 et plus','De 5 à 10 ans'
2386,'Senior IT Talent Acquisition Specialist ','Casablanca et région - Maroc','Intelcia ITS',CDI,'Bac +5 et plus','De 3 à 5 ans'
2387,'Chef de projet Réseaux et Télécoms ','Casablanca et région - Maroc','Intelcia ITS',CDI,'Bac +5 et plus','De 3 à 5 ans'
2388,'Domain Manager ','Casablanca et région - Maroc','Intelcia ITS',CDI,'Bac +5 et plus','De 5 à 10 ans'
2389,'Administrateur Bases de données ','Casablanca et région - Maroc','Intelcia ITS',CDI,'Bac +5 et plus','De 3 à 5 ans'
2390,'Project Manager ','Rabat et région - Maroc','Intelcia ITS',CDI,'Bac +5 et plus','De 3 à 5 ans'
2391,'Expert Test et Automatisation ','Casablanca et région - Maroc',Altados,'Freelance Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2392,'Ingénieur Développement Java Senior (H/F) ','Casablanca et région - Maroc',Atos,CDI,'Bac +5 et plus','De 5 à 10 ans'
2393,'Consultant RPA Sénior (H/F) ','Casablanca et région - Maroc',Atos,CDI,'Bac +5 et plus - Master','De 5 à 10 ans'
2394,'Chef de Projet ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 5 à 10 ans'
2395,'Ingénieur Test et Qualification','Casablanca et région - Maroc',Altados,CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2396,'Ingénieur Test et Automatisation ','Casablanca et région - Maroc',Altados,CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2397,'Expert test et automatisation ','Casablanca et région - Maroc',Altados,'CDI Poste avec Management','Bac +5 et plus','De 5 à 10 ans'
2398,'Référent technique ','Rabat et région - Maroc','Sofrecom Services Maroc',CDI,'Bac +5 et plus','De 5 à 10 ans'
2399,'Consultant Fonctionnel ','Casablanca et région - Maroc','Adria Business & Technology',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2400,'Chef de Projets Technique ','Rabat et région - Maroc','Webhelp Maroc',CDI,'Bac +5 et plus','De 1 à 3 ans'
2401,'Ingénieur détude et développement JAVA ','Casablanca et région - Maroc','Adria Business & Technology',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2402,'Microsoft System Administrator ','Rabat et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 1 à 3 ans'
2403,'Développeur PHP Full Stack Sénior ','Fès et région - Maroc','ALTEN Maroc',CDI,'Bac +5 et plus - Ecole dingénieur','De 3 à 5 ans'
2404,'Ingénieur N2 Réseau & Sécurité ','Casablanca et région - Maroc','Intelcia ITS',CDI,'Bac +5 et plus','De 3 à 5 ans'
2405,'Concepteur Développeur Fullstack ','Casablanca et région - Maroc','Sofrecom Services Maroc','CDI Poste avec Management','Bac +5 et plus - Ecole dingénieur','De 5 à 10 ans'
2406,'Consultant Technico','Rabat et région - Maroc','DXC Technology Maroc',CDI,'Bac +4','De 3 à 5 ans'
2407,'Developpeur Mainframe ','Rabat et région - Maroc','DXC Technology Maroc',CDI,'Bac +4 - Ecole dingénieur','De 3 à 5 ans'
